rec_no,vs1,vs2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8_1,vq8_2,vq8_3,vq8_4,vq8_5,vq8a,vq9,vq9a,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10a,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14a,vq15_1,vq15_2,vq15_3,vq15_4,vq15_5,vq15a,vq16,vq17,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq18a,vq19,vq20_1,vq20_2,vq20_3,vq20_4,vq20_5,vq20_6,vq20_7,vq20a,vq21,vq22_1,vq22_2,vq22_3,vq22_4,vq22_5,vq22a,vq23_1,vq23_2,vq23_3,vq23_4,vq23_5,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24a,vq25_1,vq25_2,vq25_3,vq25_4,vq25_5,vq25_6,vq25_7,vq25_8,vq25a,vq26_1,vq26_2,vq26_3,vq26_4,vq26_5,vq26_6,vq26_7,vq26_8,vq26a,vq27,vq28,vq29,vq29a,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30_7,vq30_8,vq30a,vq31_1,vq31_2,vq31_3,vq31_4,vq31_5,vq31_6,vq31_7,vq31_8,vq31a,vq32_1,vq32_2,vq32_3,vq32_4,vq32_5,vq32_6,vq32_7,vq32_8,vq32a,vq33_1,vq33_2,vq33_3,vq33_4,vq33_5,vq33_6,vq33_7,vq33_8,vq33a,vq34_1,vq34_2,vq34_3,vq34_4,vq34_5,vq34_6,vq34_7,vq34_8,vq34a,vq35_1,vq35_2,vq35_3,vq35_4,vq35_5,vq35_6,vq35_7,vq35_8,vq35a,vq36_1,vq36_2,vq36_3,vq36_4,vq36_5,vq36_6,vq36_7,vq36_8,vq36a,vq37_1,vq37_2,vq37_3,vq37_4,vq37_5,vq37_6,vq37_7,vq37_8,vq37a,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40_1,vq40_2,vq40_3,vq40_4,vq40_5,vq40_6,vq40_7,vq40_8,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41_6,vq41_7,vq41_8,vq41a,vq42,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43_7,vq43_8,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44_7,vq44_8,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45_5,vq45_6,vq45_7,vq45_8,vq45a,vq46,vq47,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51,vq52,vq53,vq54,vq55,vq56,vq57_1,vq57_2,vq57_3,vq57_4,vq57_5,vq57a,vq58,vq59_1,vq59_2,vq59_3,vq59_4,vq59_5,vq59_6,vq59_7,vq59_8,vq60,vq60a,vq61,vq62,vq63,vq64,vq65,vq66,vq67,vq68,vq69,vq70_1,vq70_2,vq70_3,vq70_4,vq70_5,vq70_6,vq70_7,vq70_8,vq70a,vq71_1,vq71_2,vq71_3,vq71_4,vq71_5,vq71_6,vq71_7,vq71_8,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq78a,vq79,vq80,vq81,vq81a,vq82_1,vq82_2,vq82_3,vq82_4,vq82_5,vq82_6,vq82_7,vq82_8,vq82a,vq83,vq83a,vq84,vq85_1,vq85_2,vq85_3,vq85_4,vq85_5,vq85_6,vq85_7,vq85_8,vq85a,vq86_1,vq86_2,vq86_3,vq86_4,vq86_5,vq86_6,vq86_7,vq86_8,vq86a,vq87_1,vq87_2,vq87_3,vq87_4,vq87_5,vq87_6,vq87_7,vq87a,vq88,vq89,vq90,vq91,vq92,vq93_1,vq93_2,vq93_3,vq93_4,vq93_5,vq93_6,vq93_7,vq93_8,vq93a,vq94_1,vq94_2,vq94_3,vq94_4,vq94_5,vq94_6,vq94_7,vq94a,vq95,vq96,vq97,vq97a,vq98,vq98a,vq99,vq99a,vq100,vq100a,vq101,vq101a,vq102,vq102a,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
5756,14,14,41,1,3,2,1,10,1,1,2,3, , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , ,19, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,3,6,7,8, , , , , ,3, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8, , , , , , ,101,103,106,108,202, , , , ,3, , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,1,1,1,2, , , , , , ,2, , , ,96, , , , , ,2,10,11, , , , , , ,94,"金聲電台,快樂電台",5,3,3,3,3,7,8,7,1,6,7, , , , , , , ,95, , , , , , , ,1,1,1,1,2, ,1, ,2, ,1, ,2,11, , , , , , , ,3, ,1,2,9, , , , , , , ,11,15, , , , , , , ,1,2, , , , , , ,3,3,3,96,96,11, , , , , , , , ,1,2, , , , , , ,4,5,2, ,1, ,7, ,2, ,1, ,7, ,2,1,3,8, ,98,4,0,4,1,2,3,4,5,6,9, ,1,1,1,4,1,2, , ,1, , , , , , , ,5006,6,500,1,2,1,96,1,8,2.14066464718298
5307,12,12,45,1,3,1,1,7,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,9, , , , , , , ,6, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , ,101,103, , , , , , , ,3, , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,95, ,2, , , , , , , , , , ,2,94, , , , ,不會用連網，只會使用車內音響,2,15,16, , , , , , ,10, ,6,8,8,6,6,1,8,9,2,1,2, , , , , , , ,95, , , , , , , ,1,1,3,3,2, ,1, ,1,2,1, ,2, , , , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,1,1,96,4,1,5, , , , , , , ,1, , , , , , , ,5,5,2, ,1, ,3, ,2, ,1, ,3, ,2,1,5,19, ,6,5,1,4,1,3,4,5,6,8,9, ,2, ,1,4,1,1, ,1,1, , , , , , , ,4003,5,400,1,2,5,6,1,19,1.1642549603905
5410,12,12,55,2,1,1,1,10,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,8,9, , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,21,22, , , , , ,101,102,103,104,106,303,403, , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5, , , , , , ,6,1, , , , , , ,3,3, , ,1,3,1, ,2, ,96, ,1,2,6,7, , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,3,1,2,3,4,5,8,10,12, ,1, , , , , , , ,4,5,3, ,2, ,1, ,2, ,3, ,1, ,2,1,7,15, ,5,3,1,4,1,3,4,5,6,8,9, ,1, ,1,4,1,1, ,1,1, , , , , , , ,4003,4,400,2,2,7,5,1,15,.933037730861552
106,2,2,64,1,1,3,1,30,1,2,4, , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,5,6,7,8,9, , ,2,5,7,9, , , , , ,2,3,5,7,9, , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1,4, , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , ,2,4,5, , , , , , , , , , , , , , , ,2,4,5, , , , , , ,1,2,3,23,24, , , ,104,302,303,304,402,403, , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,5,6, , , , ,8,5,1,9, , , , ,1,2, , ,2, ,1, ,2, ,1, ,1,4,6,8, , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,2,3,4,5,6,7,10,12, , ,1,4, , , , , , ,5,5,3, ,2, ,4, ,2, ,4, ,5, ,1,2,7,9, ,5,2,0,4,1,3,4,5,6,8,9,11,1, ,1,4,1,3, ,3,2, ,2, , , , , ,1001,3,100,1,1,7,5,2,9,.824280910528632
2,1,1,48,2,1,1,1,4,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,4, , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,3,6,8,9, , , , , ,3,6,9, , , , , , ,3,5,6, , , , , , ,1,1, , ,4,94, , , , , , ,單純看電影, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,2,21, , , , , , ,102,201,304,404,504,602,701, , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,3, , , , , , , ,1,2, , ,2, ,5, ,2, ,4, ,1,6, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,1,96,1,2,3,4,5, , , , ,1, , , , , , , ,4,4,2, ,1, ,7, ,2, ,1, ,3, ,2,1,5,17, ,3,4,0,4,1,3,4,5,8, , , ,1, ,1,4,1, , ,3, , , , , , , , ,1010,5,100,2,2,5,3,1,17,1.5627071538776
3405,3,3,86,1,1,3,1,21,1,1,2, , , , ,2, ,90, , , , , ,1,90, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,8,9, , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20,21,22,23, , , ,101,102,103,302,304,306,402, , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5, , , , , , ,95, , , , , , , ,2,3, , ,1,3,1, ,2, ,96, ,1,4,5,6,7,8, , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,1,4,2,3,4,5,6,10, , , ,3, , , , , , , ,3,4,4, ,1, ,2, ,4, ,1, ,2, ,1,1,7,21, , ,4,0,4,1,3,4,5,6,8,9, ,1, ,1,4,1,3, ,4,2, , , , , , , ,2001,1,200,1,1,7, ,1,21,1.06602384744775
2927,4,4,41,2,1,3,1,14,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,3, , , , , , , , ,3, , , , , , , , ,3, , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22, , , , , , , ,302, , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,96, , , , , , , ,2,2, , ,2, ,96, ,2, ,96, ,5, , , , , , , , ,3, ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,1,96,1,1,1,2,3,5,6,7,11,12, ,96, , , , , , , ,5,4,4, ,5, ,3, ,4, ,3, ,6, ,5,1,3,20, , ,5,2,4,1,2,4,5,7,8,11,14,1,3, ,4,1, ,3,1, , ,2, , ,96, , ,3005,6,300,2,5,1, ,1,20,2.35246624911486
1406,16,16,61,2,1,3,1,2,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8,9, , , , ,95, , , , , , , , ,95, , , , , , , , ,1,2,3, ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,13, , , , , , ,101,103,204, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , ,95, , , , , , , ,3,3, , ,1,3,1, ,1,3,1, ,1,2,3,4,5,6,7,8, ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,1,96,1,5,1,2,3,4,5,6,7,8, ,1,3,4, , , , , ,5,5,2, ,3, ,1, ,2, ,1, ,3, ,2,1,8,20, , ,3,0,4,1,2,4,5,6,7,8,9,1,3, ,4,1,1,2,1,3, , , , , , , ,6001,4,600,2,2,8, ,1,20,1.25630386392344
109,1,1,90,1,3,1,1,6,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,7,8, , , , , ,5,6,7,8, , , , , ,5,6,7,8,9, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5, , , , , , , ,6, , , , , , , , ,6,7, , , , , , , ,6,7, , , , , , , , , , , , , , , , ,20, , , , , , , ,101,102,104,403,502,601,602,603, ,2, , , , , , , , , ,18,6,17,14,1,9,2, , ,7,2, , , , , , , ,1, ,2, , , , ,4, , , , ,5, ,3, , , , , ,5,96, , , , , , , ,10, ,1,3,1,4,1,1,6,2,2,1,2,5,6, , , , , ,6,5, , , , , , ,2,2,2,2,1,2,1, ,1,2,1, ,4,6,7,8, , , , , ,3, ,1,6,8,9,13, , , , , ,1,6,15, , , , , , ,1,2, , , , , , ,1,3,2,1,2,1,2,4,5,6,12, , , ,1,2, , , , , , ,4,5,3, ,1, ,4, ,3, ,4, ,2, ,1,1,5,21, , ,4,1,1,1,2,4,5,6,9,11, ,2,1, ,4,1,1, , ,3, ,1, , , , , ,1010,1,100,1,1,5, ,1,21,1.03250152704923
23,1,1,53,1,3,1,1,20,1,2, , , , , ,2, ,1,2,3, , , ,1,1,2,3,4,5,6, , ,2, , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8,9, , , , ,2, , , , , , , , ,2, , , , , , , , ,1,1, , ,6, , , , , , , , , , , , , , , , , ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,21,22,23, , , , ,102,203,204,306,403,404,505,601, ,3, , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,1,1,2, , , , , , , ,1, , , ,96, , , , , ,1,15,16,17, , , , , ,5, ,6,6,7,8,8,8,9,9,2,96, , , , , , , , ,96, , , , , , , ,2,96,2,2,2, ,1, ,2, ,1, ,96, , , , , , , , ,1, ,1,2,4,8,9, , , , , ,1,4, , , , , , , ,1, , , , , , , ,96,1,1,1,1,1,4,7, , , , , , ,1, , , , , , , ,5,5,1, ,3, ,4, ,1, ,3, ,2, ,2,1,7,13, ,6,4,1,2,1,2,4,5,7,8,9, ,2,1, ,4,1, ,1,2,1, , , , , , , ,1010,4,100,1,2,7,6,1,13,1.31123485422056
1223,9,9,77,1,1,3,1,8,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , , ,1,95, , , , , , , ,2, , , , , , , , , , , , ,2,3, , , , , , , ,2,3, , , , , , , ,2,3, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,4,7, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , ,101,302,503, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5, , , , , , ,1,8,6, , , , , ,1,2, , ,1,3,1, ,1,96,2, ,1,2,3,5,6,8, , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,3,3,1,3,4,5,6,12, , , ,1,4, , , , , , ,5,5,3, ,4, ,2, ,2, ,1, ,4, ,1,1,7,15, ,6,4,0,4,1,2,4,5,7,8,9,11,2,1, ,4,1, ,2,2,1, ,2, , , , , ,2003,2,200,1,1,7,6,1,15,.459963310913681
510,1,1,61,1,1,3,1,4,1,1,2, , , , ,2, ,96, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , ,6, , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23, , , , , , , ,203, , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , ,96, , , , , , , ,1,1, , ,2, ,1, ,2, ,96, ,1,5,10, , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,96,96,96,96,5,8,9, , , , , , ,1, , , , , , , ,2,4,1, ,4, ,2, ,6, ,1, ,2, ,2,1,7,14, ,4,5,98,4,1,2,4,5,8,9, , ,2,1, ,4,1, , ,2,1, , , , , , , ,1006,4,100,1,2,7,4,1,14,1.31123485422056
2822,1,1,68,1,3,1,1,16,1,3,4, , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, ,3, , , , , , , , ,1,5, , , , , , , ,2, , , , , , , , , , , , ,3,5,6,7,8, , , , ,3,5,7, , , , , , ,3,5,7, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,7,22,23,24, , , , ,102,107,108,201,204,304,403, , ,1,2,4, , , , , , , , , , , , , , , , ,4, , , , , , , , ,1, ,2, , , , , , ,2, , , , ,1,2, , , , ,2,8,20, , , , , , ,12, ,5,7,5,8,6,6,7,8,2,1,3,6,7, , , , , ,1, , , , , , , ,3,3,3,3,1,1,1, ,1,1,1, ,1,2,6,7,10, , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,1,3,3,3,4,5,6,7,10, , , ,1, , , , , , , ,4,5,3, ,2, ,1, ,3, ,2, ,1, ,2,1,8,13, ,7,4,2,4,1,2,4,5,6,9,10,11,1,1, ,4,1,1, , ,2,2,1, , , , , ,1004,3,100,1,2,8,7,1,13,1.35557295933156
2512,5,5,62,1,1,3,1,14,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8,9, , , , ,2, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19,20, , , , , , ,602, , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5, , , , , , ,1, , , , , , , ,1,1, , ,2, ,96, ,2, ,96, ,1, , , , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,1,2,1, , , , , , , , ,1, , , , , , , ,5,5,2, ,5, ,3, ,2, ,1, ,6, ,2,1,3,3, ,98,4,0,4,1,2,4,5,6,8,9, ,1,1, ,4,1,3, ,1,1, , , , , , , ,4001,3,400,1,2,1,96,1,3,.991523365528919
2634,5,5,54,2,1,1,1,7,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,8,9, , , , , ,95, , , , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,14, , , , , , ,101,103,106,204,305,401,404,501, ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , ,7,9,4, , , , , ,1,1, , ,1,1,96, ,1,2,96, ,1,2,4, , , , , , ,1, ,1,3,6,7,8,14,17,18, , ,15, , , , , , , , ,1, , , , , , , ,3,3,3,2,1,3,5,7,8,10,11,12, , ,1, , , , , , , ,5,5,3, ,2, ,1, ,1, ,2, ,3, ,1,1,6,7, ,98,4,0,4,1,2,4,5,8,9, , ,1,1, ,4,1, , ,1,1, , , , , , , ,4001,4,400,2,1,6,96,1,7,.937313027383544
3005,17,17,82,1,3,1,1,20,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,6,7,8, , , , , ,3,6,8, , , , , , ,3,4,6,8, , , , , ,1,2,1, ,6,7, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5, , , , , , , , , , , , , , , , ,4,5, , , , , , , , , , , , , , , , ,13,19,20,21,22,23, , ,101,102,105,106,306,403, , , ,3, , , , , , , , , , , , , , , , , , ,8,5, , , , , , , ,1,1,2, , , , , , , ,2, , ,2,3, , , , , ,2,19,20,21, , , , , ,2, ,4,5,5,5,5,3,6,6,2,2,6, , , , , , , ,95, , , , , , , ,3,5,2,5,1,2,1, ,1,96,1, ,1,2,5,6,8,10, , , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,2,1,2,4,5,6,10,12, , ,1,3, , , , , , ,5,5,2, ,1, ,3, ,2, ,1, ,3, ,1,1,7,16, ,3,4,0,4,1,2,4,5,7,9, , ,1,1, ,4,1, ,1, ,1, , , , , , , ,5005,1,500,1,1,7,3,1,16,.139421110610425
5811,1,1,74,2,3,1,1,7,1,1,2,4, , , ,2, ,90, , , , , ,1,1, , , , , , , ,2, , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,7,8,9, , , , ,2, , , , , , , , ,2, , , , , , , , ,1,2,4, ,95, , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , ,101,102,103,108,202,304,306,601, ,3, , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,1,1,1,2, , , , , , ,3, , , ,1, , , , , ,3,15, , , , , , , ,10, ,1,1,1,5,1,1,8,4,2,3,6, , , , , , , ,95, , , , , , , ,3,3,3,5,1,3,1, ,1,3,1, ,1,2,3,6,8, , , , ,3, ,1,1,2,4,5,6,8,9,19, ,8,15, , , , , , , ,1, , , , , , , ,3,3,3,2,2,1,2,4,5,7,8,12, , ,1, , , , , , , ,4,5,2, ,3, ,1, ,2, ,4, ,5, ,1,1,7,11, ,23,4,0,4,1,2,4,5,6,7,8,9,1,1, ,4,1,1,1,1,2, , , , , , , ,5005,2,100,2,1,7,8,1,11,1.03342876615556
3313,11,11,67,2,1,1,1,10,1,2, , , , , ,2, ,90, , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,6, , , , , , ,2,4,6, , , , , , ,2,4,6, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , ,101,107,108,109,203,302,401,404, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,5,6, , , , ,3,1, , , , , , ,1,1, , ,2, ,96, ,2, ,96, ,1,2,3,6,7,8, , , ,3, ,1,1,2,5,6,8,18,19, , ,4,13, , , , , , , ,1,2, , , , , , ,98,1,3,3,5,1,2,3,5,6,8,11,12, ,1,2, , , , , , ,4,5,2, ,1, ,5, ,2, ,1, ,5, ,2,1,6,7, ,3,4,2,4,1,2,4,5,6,8, , ,1,1, ,4,1,1, ,1, , , , , , , , ,3006,3,300,2,2,6,3,1,7,.31990410405015
5123,4,14,59,1,3,1,1,10,1,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,6,7,8, , , , , , ,6,7,8, , , , , , ,95, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , , ,5, , , , , , , , ,96, , , , , , , , , , , , , , , , , ,8,9, , , , , , ,101,102,103,202,301,304,403,602, ,3, , , , , , , , , , , , , , , , , , ,5, , , , , , , , ,1,1,2, , , , , , , ,1, , , ,1, , , , , ,1,12,13,14, , , , , ,2, ,5,5,5,5,5,5,5,5,2,95, , , , , , , , ,96, , , , , , , ,3,3,3,3,2, ,96, ,2, ,96, ,96, , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,96,96,96,2,2,96, , , , , , , , , , , , , , , , ,5,5,3, ,6, ,4, ,3, ,2, ,5, ,2,1,5,13, ,6,4,1,4,1,2,4,5,6,9, , ,1,1, ,4,1,1, , ,1, , , , , , , ,3002,4,500,1,2,5,6,1,13,1.40907113501268
